customer_id,total_revenue,n_invoices,avg_aov,last_purchase_date
12346.0,77183.6,1,77183.6,2011-01-18 10:01:00
12347.0,4310.0,182,615.7142857142857,2011-12-07 15:52:00
12348.0,1797.24,31,449.31,2011-09-25 13:13:00
12349.0,1757.55,73,1757.55,2011-11-21 09:51:00
12350.0,334.4,17,334.4,2011-02-02 16:01:00
12352.0,2506.04,85,313.255,2011-11-03 14:37:00
12353.0,89.0,4,89.0,2011-05-19 17:47:00
12354.0,1079.4,58,1079.4,2011-04-21 13:11:00
12355.0,459.4,13,459.4,2011-05-09 13:49:00
12356.0,2811.43,59,937.1433333333333,2011-11-17 08:40:00
12357.0,6207.67,131,6207.67,2011-11-06 16:07:00
12358.0,1168.06,19,584.03,2011-12-08 10:26:00
12359.0,6372.58,248,1593.145,2011-10-13 12:47:00
12360.0,2662.06,129,887.3533333333334,2011-10-18 15:22:00
12361.0,189.9,10,189.9,2011-02-25 13:51:00
12362.0,5226.2300000000005,266,522.623,2011-12-06 15:40:00
12363.0,552.0,23,276.0,2011-08-22 10:18:00
12364.0,1313.1,85,328.275,2011-12-02 10:22:00
12365.0,641.38,22,320.69,2011-02-21 14:04:00
12367.0,168.9,11,168.9,2011-12-05 16:48:00
12370.0,3545.6899999999996,167,886.4224999999999,2011-10-19 14:51:00
12371.0,1887.96,63,943.98,2011-10-26 10:16:00
12372.0,1298.04,52,432.68,2011-09-29 12:12:00
12373.0,364.6,14,364.6,2011-02-01 13:10:00
12374.0,742.9300000000001,33,742.9300000000001,2011-11-14 15:37:00
12375.0,457.5,17,228.75,2011-11-29 10:36:00
12377.0,1628.12,77,814.06,2011-01-28 15:45:00
12378.0,4008.62,219,4008.62,2011-08-02 10:34:00
12379.0,852.24,40,426.12,2011-09-19 10:09:00
12380.0,2724.8100000000004,104,681.2025000000001,2011-11-18 11:27:00
12381.0,1845.31,87,369.062,2011-12-05 12:44:00
12383.0,1850.56,99,370.11199999999997,2011-06-08 08:02:00
12384.0,585.27,27,292.635,2011-11-11 08:39:00
12386.0,401.9,10,200.95,2011-01-06 12:37:00
12388.0,2780.66,100,463.4433333333333,2011-11-24 12:30:00
12390.0,549.84,32,549.84,2011-09-21 09:33:00
12391.0,460.89,100,460.89,2011-11-18 12:07:00
12393.0,1582.6,64,395.65,2011-09-28 15:41:00
12394.0,1272.48,27,636.24,2011-10-07 08:08:00
12395.0,3018.63,156,251.5525,2011-11-20 15:21:00
12397.0,2409.8999999999996,126,1204.9499999999998,2011-11-04 09:52:00
12398.0,1635.66,85,1635.66,2011-10-25 10:27:00
12399.0,1108.65,59,277.1625,2011-08-12 13:15:00
12401.0,84.3,5,84.3,2011-02-09 13:50:00
12402.0,225.6,11,225.6,2011-01-20 13:49:00
12403.0,427.7,5,427.7,2011-10-21 10:51:00
12405.0,1710.39,54,1710.39,2011-07-14 08:52:00
12406.0,3415.3,105,1707.65,2011-11-17 19:22:00
12407.0,1708.12,77,341.62399999999997,2011-10-21 10:11:00
12408.0,2888.55,105,577.71,2011-11-07 12:27:00
12409.0,11072.67,109,3690.89,2011-09-22 10:38:00
12410.0,693.3299999999999,26,346.66499999999996,2011-02-04 10:39:00
